Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
17:16:52:1266,1,0,0,0,0,0
17:16:52:1276,1,0,0,0,0,0
17:16:52:1286,1,0,0,0,0,0
17:16:52:1296,1,0,0,0,0,0
17:16:52:1306,1,0,0,0,0,0
17:16:52:1316,1,0,0,0,0,0
17:16:52:1326,1,0,0,0,0,0
17:16:52:1336,1,0,0,0,0,0
17:16:52:1346,1,0,0,0,0,0
17:16:52:1356,1,0,0,0,0,0
17:16:52:1366,1,0,0,0,0,0
17:16:52:1376,1,0,0,0,0,0
17:16:52:1386,1,0,0,0,0,0
17:16:52:1396,1,0,0,0,0,0
17:16:52:1406,1,0,0,0,0,0
17:16:52:1416,1,0,0,0,0,0
17:16:52:1426,1,0,0,0,0,0
17:16:52:1436,1,0,0,0,0,0
17:16:52:1446,1,0,0,0,0,0
17:16:52:1456,1,0,0,0,0,0
17:16:52:1466,1,0,0,0,0,0
17:16:52:1476,1,0,0,0,0,0
17:16:52:1486,1,0,0,0,0,0
17:16:52:1496,1,0,0,0,0,0
17:16:52:1506,1,0,0,0,0,0
17:16:52:1516,1,0,0,0,0,0
17:16:52:1526,1,0,0,0,0,0
17:16:52:1536,1,0,0,0,0,0
17:16:52:1546,1,0,0,0,0,0
17:16:52:1556,1,0,0,0,0,0
17:16:52:1566,1,0,0,0,0,0
17:16:52:1576,1,0,0,0,0,0
17:16:52:1586,1,0,0,0,0,0
17:16:52:1596,1,0,0,0,0,0
17:16:52:1606,1,0,0,0,0,0
17:16:52:1616,1,0,0,0,0,0
17:16:52:1626,1,0,0,0,0,0
17:16:52:1636,1,0,0,0,0,0
17:16:52:1646,1,0,0,0,0,0
17:16:52:1656,1,0,0,0,0,0
17:16:52:1666,1,0,0,0,0,0
17:16:52:1676,1,0,0,0,0,0
17:16:52:1686,1,0,0,0,0,0
17:16:52:1696,1,0,0,0,0,0
17:16:52:1706,1,0,0,0,0,0
17:16:52:1716,1,0,0,0,0,0
17:16:52:1726,1,0,0,0,0,0
17:16:52:1736,1,0,0,0,0,0
17:16:52:1746,1,0,0,0,0,0
17:16:52:1756,1,0,0,0,0,0
17:16:52:1766,1,0,0,0,0,0
17:16:52:1776,1,0,0,0,0,0
17:16:52:1786,1,0,0,0,0,0
17:16:52:1796,1,0,0,0,0,0
17:16:52:1806,1,0,0,0,0,0
17:16:52:1816,1,0,0,0,0,0
17:16:52:1826,1,0,0,0,0,0
17:16:52:1836,1,0,0,0,0,0
17:16:52:1846,1,0,0,0,0,0
17:16:52:1856,1,0,0,0,0,0
17:16:52:1866,1,0,0,0,0,0
17:16:52:1876,1,0,0,0,0,0
17:16:52:1886,1,0,0,0,0,0
17:16:52:1896,1,0,0,0,0,0
17:16:52:1906,1,0,0,0,0,0
17:16:52:1916,1,0,0,0,0,0
17:16:52:1926,1,0,0,0,0,0
17:16:52:1936,1,0,0,0,0,0
17:16:52:1946,1,0,0,0,0,0
17:16:52:1956,1,0,0,0,0,0
17:16:52:1966,1,0,0,0,0,0
17:16:52:1976,1,0,0,0,0,0
17:16:52:1986,1,0,0,0,0,0
17:16:52:1996,1,0,0,0,0,0
17:16:52:2006,1,0,0,0,0,0
17:16:52:2016,1,0,0,0,0,0
17:16:52:2026,1,0,0,0,0,0
17:16:52:2036,1,0,0,0,0,0
17:16:52:2046,1,0,0,0,0,0
17:16:52:2056,1,0,0,0,0,0
17:16:52:2066,1,0,0,0,0,0
17:16:52:2076,1,0,0,0,0,0
17:16:52:2086,1,0,0,0,0,0
17:16:52:2096,1,0,0,0,0,0
17:16:52:2106,1,0,0,0,0,0
17:16:52:2116,1,0,0,0,0,0
17:16:52:2126,1,0,0,0,0,0
17:16:52:2136,1,0,0,0,0,0
17:16:52:2146,1,0,0,0,0,0
17:16:52:2156,1,0,0,0,0,0
17:16:52:2166,1,0,0,0,0,0
17:16:52:2176,1,0,0,0,0,0
17:16:52:2186,1,0,0,0,0,0
17:16:52:2196,1,0,0,0,0,0
17:16:52:2206,1,0,0,0,0,0
17:16:52:2216,1,0,0,0,0,0
17:16:52:2226,1,0,0,0,0,0
17:16:52:2236,1,0,0,0,0,0
17:16:52:2246,1,0,0,0,0,0
17:16:52:2256,1,0,0,0,0,0
17:16:52:2266,1,0,0,0,0,0
17:16:52:2276,1,0,0,0,0,0
17:16:52:2286,1,0,0,0,0,0
17:16:52:2296,1,0,0,0,0,0
17:16:52:2306,1,0,0,0,0,0
17:16:52:2316,1,0,0,0,0,0
17:16:52:2326,1,0,0,0,0,0
17:16:52:2336,1,0,0,0,0,0
17:16:52:2346,1,0,0,0,0,0
17:16:52:2356,1,0,0,0,0,0
17:16:52:2366,1,0,0,0,0,0
17:16:52:2376,1,0,0,0,0,0
17:16:52:2386,1,0,0,0,0,0
17:16:52:2396,1,0,0,0,0,0
17:16:52:2406,1,0,0,0,0,0
17:16:52:2416,1,0,0,0,0,0
17:16:52:2426,1,0,0,0,0,0
17:16:52:2436,1,0,0,0,0,0
17:16:52:2446,1,0,0,0,0,0
17:16:52:2456,1,0,0,0,0,0
17:16:52:2466,1,0,0,0,0,0
17:16:52:2476,1,0,0,0,0,0
17:16:52:2486,1,0,0,0,0,0
17:16:52:2496,1,0,0,0,0,0
17:16:52:2506,1,0,0,0,0,0
17:16:52:2516,1,0,0,0,0,0
17:16:52:2526,1,0,0,0,0,0
17:16:52:2536,1,0,0,0,0,0
17:16:52:2546,1,0,0,0,0,0
17:16:52:2556,1,0,0,0,0,0
17:16:52:2566,1,0,0,0,0,0
17:16:52:2576,1,0,0,0,0,0
17:16:52:2586,1,0,0,0,0,0
17:16:52:2596,1,0,0,0,0,0
17:16:52:2606,1,0,0,0,0,0
17:16:52:2616,1,0,0,0,0,0
17:16:52:2626,1,0,0,0,0,0
17:16:52:2636,1,0,0,0,0,0
17:16:52:2646,1,0,0,0,0,0
17:16:52:2656,1,0,0,0,0,0
17:16:52:2666,1,0,0,0,0,0
17:16:52:2676,1,0,0,0,0,0
17:16:52:2686,1,0,0,0,0,0
17:16:52:2696,1,0,0,0,0,0
17:16:52:2706,1,0,0,0,0,0
17:16:52:2716,1,0,0,0,0,0
17:16:52:2726,1,0,0,0,0,0
17:16:52:2736,1,0,0,0,0,0
17:16:52:2746,1,0,0,0,0,0
17:16:52:2756,1,0,0,0,0,0
17:16:52:2766,1,0,0,0,0,0
17:16:52:2776,1,0,0,0,0,0
17:16:52:2786,1,0,0,0,0,0
17:16:52:2796,1,0,0,0,0,0
17:16:52:2806,1,0,0,0,0,0
17:16:52:2816,1,0,0,0,0,0
17:16:52:2826,1,0,0,0,0,0
17:16:52:2836,1,0,0,0,0,0
17:16:52:2846,1,0,0,0,0,0
17:16:52:2856,1,0,0,0,0,0
17:16:52:2866,1,0,0,0,0,0
17:16:52:2876,1,0,0,0,0,0
17:16:52:2886,1,0,0,0,0,0
17:16:52:2896,1,0,0,0,0,0
17:16:52:2906,1,0,0,0,0,0
17:16:52:2916,1,0,0,0,0,0
17:16:52:2926,1,0,0,0,0,0
17:16:52:2936,1,0,0,0,0,0
17:16:52:2946,1,0,0,0,0,0
17:16:52:2956,1,0,0,0,0,0
17:16:52:2966,1,0,0,0,0,0
17:16:52:2976,1,0,0,0,0,0
17:16:52:2986,1,0,0,0,0,0
17:16:52:2996,1,0,0,0,0,0
17:16:52:3006,1,0,0,0,0,0
17:16:52:3016,1,0,0,0,0,0
17:16:52:3026,1,0,0,0,0,0
17:16:52:3036,1,0,0,0,0,0
17:16:52:3046,1,0,0,0,0,0
17:16:52:3056,1,0,0,0,0,0
17:16:52:3066,1,0,0,0,0,0
17:16:52:3076,1,0,0,0,0,0
17:16:52:3086,1,0,0,0,0,0
17:16:52:3096,1,0,0,0,0,0
17:16:52:3106,1,0,0,0,0,0
17:16:52:3116,1,0,0,0,0,0
17:16:52:3126,1,0,0,0,0,0
17:16:52:3136,1,0,0,0,0,0
17:16:52:3146,1,0,0,0,0,0
17:16:52:3156,1,0,0,0,0,0
17:16:52:3166,1,0,0,0,0,0
17:16:52:3176,1,0,0,0,0,0
17:16:52:3186,1,0,0,0,0,0
17:16:52:3196,1,0,0,0,0,0
17:16:52:3206,1,0,0,0,0,0
17:16:52:3216,1,0,0,0,0,0
17:16:52:3226,1,0,0,0,0,0
17:16:52:3236,1,0,0,0,0,0
17:16:52:3246,1,0,0,0,0,0
17:16:52:3256,1,0,0,0,0,0
17:16:52:3266,1,0,0,0,0,0
17:16:52:3276,1,0,0,0,0,0
17:16:52:3286,1,0,0,0,0,0
17:16:52:3296,1,0,0,0,0,0
17:16:52:3306,1,0,0,0,0,0
17:16:52:3316,1,0,0,0,0,0
17:16:52:3326,1,0,0,0,0,0
17:16:52:3336,1,0,0,0,0,0
17:16:52:3346,1,0,0,0,0,0
17:16:52:3356,1,0,0,0,0,0
